url,sku,color,description,details
https://ppeci.com/index.php/products/detail/cat-6-solid-cable6,DC-568-PK-1000L,Pink,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Pink
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable7,DC-568-RD-1000L,Red,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Red
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable8,DC-568-VL-1000L,Violet,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Violet
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable9,DC-568-WH-1000L,White,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. White
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable,DCS-5E8BL-1000L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50ULAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Blue
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable1,DCS-5E8GR-1000L,Gray,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHz
  NOTE: USE MODULAR PLUG PTS-03E88RG-50ULAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz  NOTE: USE MODULAR PLUG PTS-03E88RG-50UL",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Shielded  Gray
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable4,DC-5E8BK-1000L,Black,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Black
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable5,DC-5E8BL-1000L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Blue
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable6,DC-5E8GN-1000L,Green,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Green
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable8,DC-5E8LG-1000L,Lime Green,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Lime Green
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable9,DC-5E8OR-1000L,Orange,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 1000 ft./reel. Orange
,,,,
https://ppeci.com/index.php/products/detail/scsi-3-to-scsi-adaptor,ADZ-HD68MD25F,,"Abbreviations:
  M: Male, Plug
  F: Female, Socket
  C50: Centronic 50 Pin
  D25: D-Sub 25 Pin
  D50: D-Sub 50 Pin
  HD26: Half Pitch D-Sub 26 Pin
  HD50 Half Pitch D-Sub 50 Pin
  HD68: Half Pitch D-Sub 68 Pin
  HCXX: Half Pitch Centronic XX Pin(s)Abbreviations:  M: Male, Plug  F: Female, Socket  C50: Centronic 50 Pin  D25: D-Sub 25 Pin  D50: D-Sub 50 Pin  HD26: Half Pitch D-Sub 26 Pin  HD50 Half Pitch D-Sub 50 Pin  HD68: Half Pitch D-Sub 68 Pin  HCXX: Half Pitch Centronic XX Pin(s)",Half Pitch D-Sub
,,,,
https://ppeci.com/index.php/products/detail/scsi-3-to-scsi-adaptor3,ADZ-HD68FC50M,,"Abbreviations:
 M: Male, Plug
 F: Female, Socket
 C50: Centronic 50 Pin
 D25: D-Sub 25 Pin
 D50: D-Sub 50 Pin
 HD26: Half Pitch D-Sub 26 Pin
 HD50 Half Pitch D-Sub 50 Pin
 HD68: Half Pitch D-Sub 68 Pin
 HCXX: Half Pitch Centronic XX Pin(s)Abbreviations: M: Male, Plug F: Female, Socket C50: Centronic 50 Pin D25: D-Sub 25 Pin D50: D-Sub 50 Pin HD26: Half Pitch D-Sub 26 Pin HD50 Half Pitch D-Sub 50 Pin HD68: Half Pitch D-Sub 68 Pin HCXX: Half Pitch Centronic XX Pin(s)",Half Pitch D-Sub
,,,,
https://ppeci.com/index.php/products/detail/scsi-3-to-scsi-adaptor5,ADZ-HC68MC50F,,"Abbreviations:
 M: Male, Plug
 F: Female, Socket
 C50: Centronic 50 Pin
 D25: D-Sub 25 Pin
 D50: D-Sub 50 Pin
 HD26: Half Pitch D-Sub 26 Pin
 HD50 Half Pitch D-Sub 50 Pin
 HD68: Half Pitch D-Sub 68 Pin
 HCXX: Half Pitch Centronic XX Pin(s)Abbreviations: M: Male, Plug F: Female, Socket C50: Centronic 50 Pin D25: D-Sub 25 Pin D50: D-Sub 50 Pin HD26: Half Pitch D-Sub 26 Pin HD50 Half Pitch D-Sub 50 Pin HD68: Half Pitch D-Sub 68 Pin HCXX: Half Pitch Centronic XX Pin(s)",Half Pitch Centronic
,,,,
https://ppeci.com/index.php/products/detail/scsi-3-to-scsi-adaptor6,ADZ-HC68FC50F,,"Abbreviations:
 M: Male, Plug
 F: Female, Socket
 C50: Centronic 50 Pin
 D25: D-Sub 25 Pin
 D50: D-Sub 50 Pin
 HD26: Half Pitch D-Sub 26 Pin
 HD50 Half Pitch D-Sub 50 Pin
 HD68: Half Pitch D-Sub 68 Pin
 HCXX: Half Pitch Centronic XX Pin(s)Abbreviations: M: Male, Plug F: Female, Socket C50: Centronic 50 Pin D25: D-Sub 25 Pin D50: D-Sub 50 Pin HD26: Half Pitch D-Sub 26 Pin HD50 Half Pitch D-Sub 50 Pin HD68: Half Pitch D-Sub 68 Pin HCXX: Half Pitch Centronic XX Pin(s)",Half Pitch Centronic
,,,,
https://ppeci.com/index.php/products/detail/coax-video-surge-protector,FTS-PBCC,,"Protects equipment from high voltage surges and nearby lightning strikes Two stage protection: AC 130V, DC 12V BNC Male to BNC Female. High frequency for CCTV useProtects equipment from high voltage surges and nearby lightning strikes Two stage protection: AC 130V, DC 12V BNC Male to BNC Female. High frequency for CCTV use",For both CCTV and CATV
,,,,
https://ppeci.com/index.php/products/detail/hd-sdi-surge-protector,FIS-PBSD,,"BNC male to BNC female
SDI Transmission rate: 270M ~ 2.97G
Resisting Surge: 8kV (Max)
Discharging Current: 10kA (Max)
Reaction Speed: <1nsBNC male to BNC femaleSDI Transmission rate: 270M ~ 2.97GResisting Surge: 8kV (Max)Discharging Current: 10kA (Max)Reaction Speed: <1ns",
,,,,
https://ppeci.com/index.php/products/detail/poe-surge-protector,FIS-PRJE,,"Protects equipment from high voltage surges from nearby lightning strikes
RJ45 jack to RJ45 jack
Power and signal line protection
10/100 Base-T Cat5/Cat5e compatible
Supports Mid-Span PoE and End Span PoE
802.3af and 802.3at PoE compatibleProtects equipment from high voltage surges from nearby lightning strikesRJ45 jack to RJ45 jackPower and signal line protection10/100 Base-T Cat5/Cat5e compatibleSupports Mid-Span PoE and End Span PoE802.3af and 802.3at PoE compatible",Power over Ethernet Surge Protector
,,,,
https://ppeci.com/index.php/products/detail/surge-protected-power-strip,PS-PSPP-6PTL,Teal,"Power strip with circuit breaker. Protect equipment from electrical spikes and power surges. UL and CSA listed.
Electrical rating: 125V, 15A, 1875W.
Clamping voltage, 400V (500V pm 7Ps).
Current Peak: 4000A
Reponse Time: 7-12 nanoseconds.
Energy Absorption: 50/150 Joules.
Power Cord: 14 AWG, UL SJTPower strip with circuit breaker. Protect equipment from electrical spikes and power surges. UL and CSA listed.Electrical rating: 125V, 15A, 1875W.Clamping voltage, 400V (500V pm 7Ps).Current Peak: 4000AReponse Time: 7-12 nanoseconds.Energy Absorption: 50/150 Joules.Power Cord: 14 AWG, UL SJT","6 Outlet Ports, Teal"
,,,,
"https://ppeci.com/index.php/products/detail/js/index.php?c=auto&amp;f=,prototype/prototype.js,prototype/validation.js,scriptaculous/builder.js,scriptaculous/effects.js,scriptaculous/dragdrop.js,scriptaculous/controls.js,scriptaculous/slider.js,varien/js.js,varien/form.js,varien/menu.js,mage/translate.js,mage/cookies.js",,,,
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable18,DC-5E8-GN328L,Green,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft (100M) Mini Box and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft (100M) Mini Box and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 328ft. (100M) Mini Box.  Green
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable19,DC-5E8-GR328L,Gray,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft (100M) Mini Box and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft (100M) Mini Box and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 328ft. (100M) Mini Box.  Gray
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable21,DC-5E8-PB328L,Powder Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft (100M) Mini Box and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft (100M) Mini Box and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 328ft. (100M) Mini Box.  Powder Blue
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable26,DC-5E8-WH328L,White,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft (100M) Mini Box and tested to 350MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft (100M) Mini Box and tested to 350MHz",Cat 5e Solid 4 Pair Conductor. 328ft. (100M) Mini Box.  White
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable27,DC-5E4BL1000L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.All cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.","Cat 5 Solid 2 Pair Conductor, Gray Jacket. Blue"
,,,,
https://ppeci.com/index.php/products/detail/enhanced-cat-5-solid-24-awg-cable28,DC-5E4GR1000L,Gray,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A TSB-40A Category 5.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.All cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A TSB-40A Category 5.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.","Cat 5 Solid 2 Pair Conductor, Gray Jacket. Gray"
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable10,DC-568-YW-1000L,Yellow,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 1000 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 1000 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Yellow
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable11,DC-568-BK-328L,Black,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Black
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable12,DC-568-BL-328L,Blue,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Blue
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable14,DC-568-GR-328L,Gray,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Gray
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable16,DC-568-RD-328L,Red,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Red
,,,,
https://ppeci.com/index.php/products/detail/cat-6-solid-cable19,DC-568-YW-328L,Yellow,"All cables are manufactured under ISO 9000 Standard.
  ETL Verified to EIA/TIA 568A Category 6 Standard.
  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.
  Solid cable with pull cord inside and footage clearly marked on jacket.
  Packaged in 328 ft. reelbox and tested to 500MHzAll cables are manufactured under ISO 9000 Standard.  ETL Verified to EIA/TIA 568A Category 6 Standard.  UL (USA) CMR, CSA (Canada), CMG FT4, Austel (Australia), and Fuji (Japan) Listed.  Solid cable with pull cord inside and footage clearly marked on jacket.  Packaged in 328 ft. reelbox and tested to 500MHz",Solid for Horizontal Installation. Yellow
